Cr,Ti,Zr,MaxFWHM
0.251894553,0.529513676,0.21859177,0.493043738
0.274251364,0.502401584,0.223347052,0.498565487
0.297748753,0.474874616,0.227376631,0.507063246
0.322289433,0.447090216,0.230620351,0.51904797
0.347752711,0.419216505,0.233030784,0.525813979
0.373993223,0.391433521,0.234573256,0.532131087
0.400841905,0.363925723,0.235232372,0.545560897
0.42811442,0.336877304,0.235008277,0.557981219
0.455614734,0.310468763,0.233916504,0.566014603
0.483138929,0.284869518,0.231991553,0.578265354
0.510484721,0.260234144,0.229281135,0.58668197
0.537457857,0.236696895,0.225845248,0.596079809
0.56387356,0.21437312,0.22175332,0.603887921
0.13602013,0.695916562,0.168063308,0.356904383
0.150245056,0.674158167,0.175596776,0.40823633
0.165661875,0.651386303,0.182951822,0.438642359
0.182312397,0.62763723,0.190050373,0.451016013
0.200221341,0.602966014,0.196812646,0.468998787
0.219398241,0.577446599,0.20315516,0.474545812
0.239835636,0.551172019,0.208992344,0.48958807
0.261501379,0.524253771,0.21424485,0.503973569
0.284341237,0.496823536,0.218835227,0.512948842
0.308275563,0.46903023,0.222694207,0.521107224
0.333199846,0.441037281,0.225762873,0.522325748
0.35898383,0.413019367,0.227996803,0.528766656
0.385476989,0.385160602,0.229362409,0.53897658
0.412508997,0.357644889,0.229846113,0.551082357
0.439891546,0.330658974,0.22944948,0.562326349
0.467431473,0.304378422,0.228190106,0.573105159
0.494928177,0.278967401,0.226104422,0.581761575
0.522186989,0.254573909,0.223239102,0.587630215
0.54901797,0.231325556,0.219656474,0.597608566
0.575250546,0.209323866,0.215425588,0.602928285
0.600728942,0.188646837,0.210624221,0.610796151
0.141923781,0.693418161,0.164658059,0.403728601
0.156698799,0.671227769,0.172073432,0.438064726
0.172678557,0.648025561,0.179295882,0.453096563
0.189898754,0.623850832,0.186250415,0.469534612
0.20837738,0.598766581,0.19285604,0.47819753
0.228115347,0.572854587,0.199030066,0.499402841
0.249094349,0.546216605,0.204689046,0.513109863
0.271275783,0.518970299,0.209753918,0.517782723
0.294593258,0.491256651,0.214150091,0.523718033
0.31896005,0.463231016,0.217808933,0.530577494
0.344261559,0.435063419,0.220675022,0.539893223
0.370361922,0.406931965,0.222706113,0.538676721
0.397103641,0.379025246,0.223871114,0.548325059
0.424313205,0.351527561,0.224159234,0.558598486
0.45180236,0.324623569,0.223574071,0.567586795
0.479378449,0.298485794,0.222135757,0.575340478
0.506844465,0.273273528,0.219882007,0.585214161
0.534012376,0.249127289,0.216860334,0.591442822
0.560700206,0.226164959,0.213134834,0.594831169
0.586744133,0.20448033,0.208775537,0.600733532
0.611996747,0.184143333,0.20385992,0.605324637
0.133837768,0.712260428,0.153901803,0.419420781
0.147988555,0.690701155,0.16131029,0.437571737
0.16331616,0.668099558,0.168584282,0.461263013
0.179862571,0.644484263,0.175653165,0.47468358
0.197653486,0.619906454,0.18244006,0.482930156
0.216699568,0.59443535,0.188865083,0.498617104
0.23699562,0.568157744,0.194846636,0.504999022
0.258513726,0.541183532,0.200302742,0.521627379
0.281203666,0.513640142,0.205156192,0.523079121
0.304991897,0.485674759,0.209333344,0.529479765
0.329781667,0.457448734,0.212769599,0.539731404
0.355450681,0.429136218,0.215413101,0.540461619
0.381856419,0.400922082,0.217221499,0.545311965
0.408835796,0.372994059,0.218170145,0.553239015
0.436212452,0.345537409,0.218250139,0.563041569
0.463798433,0.3187346,0.217466967,0.57042736
0.491401429,0.292755014,0.215843557,0.57723104
0.518829837,0.26775035,0.213419813,0.584333298
0.545898588,0.243855289,0.210246124,0.591826025
0.572434456,0.221179587,0.206385957,0.596446888
0.59828033,0.199809492,0.201910178,0.598319709
0.623298612,0.179802712,0.196898676,0.599947458
0.647374725,0.16119549,0.191429785,0.95895082
0.139526218,0.709711236,0.150762547,0.43799125
0.154216531,0.687758853,0.158024616,0.458035145
0.170101155,0.664760148,0.165138696,0.471031641
0.187212819,0.640752516,0.172034665,0.490076943
0.205572663,0.615793292,0.178634046,0.497136403
0.225184282,0.589957204,0.184858514,0.51000886
0.246032761,0.563340371,0.190626868,0.508761014
0.268082093,0.536057206,0.195860701,0.528003149
0.291271146,0.508245836,0.200483018,0.538919
0.315518863,0.480057162,0.204423976,0.550612032
0.34071853,0.451659596,0.207621874,0.549730049
0.366741378,0.423233281,0.210025341,0.548601684
0.393437804,0.394962288,0.211599908,0.553134556
0.420640367,0.367038599,0.212321035,0.559000108
0.448170265,0.339644819,0.212184916,0.566842565
0.4758382,0.312961997,0.211199803,0.572885256
0.503455196,0.287153435,0.209391369,0.580697043
0.530831978,0.262367157,0.206800865,0.583615544
0.557789558,0.238728915,0.203481527,0.589712933
0.584160461,0.216342254,0.199497285,0.594075361
0.609797062,0.195282226,0.194920712,0.597988241
0.634568561,0.175602231,0.189829208,0.597217727
0.658368394,0.157327665,0.184303941,0.900838195
0.145377942,0.70691531,0.147706748,0.468363956
0.160611255,0.6845814,0.154807345,0.475249954
0.177052344,0.661203105,0.161744551,0.490162771
0.194728919,0.63682108,0.16845,0.498229087
0.213654919,0.611500755,0.174844327,0.517601744
0.233825927,0.585322303,0.18085177,0.526859138
0.255218578,0.558389844,0.186391578,0.530530217
0.277787256,0.53082643,0.191386313,0.543282567
0.301463424,0.502773905,0.19576267,0.542282778
0.326156053,0.47439102,0.199452926,0.55479828
0.35175062,0.445849801,0.202399579,0.554938909
0.378109072,0.417336043,0.204554886,0.553782623
0.405077206,0.389035832,0.205886961,0.557977994
0.432485475,0.361138218,0.206376307,0.56632515
0.460149536,0.333829082,0.206021381,0.569021937
0.487882556,0.307282721,0.204834722,0.575470338
0.515494922,0.281660292,0.202844786,0.57742034
0.542803921,0.257101501,0.200094578,0.582826661
0.569634341,0.233726153,0.196639506,0.584535497
0.595827788,0.211628302,0.19254391,0.587701031
0.621240517,0.190878377,0.187881106,0.592158651
0.645751231,0.171519569,0.1827292,0.591141866
0.669261257,0.153571336,0.177167407,0.84576086
0.15139793,0.703866749,0.144735321,0.493033304
0.167173911,0.681167166,0.151658923,0.507603227
0.184170008,0.657422894,0.158407098,0.516968362
0.202408115,0.632685267,0.164906618,0.521205091
0.22189439,0.607022484,0.171083126,0.530405407
0.242616964,0.580523993,0.176859043,0.541375
0.264543557,0.553300254,0.182156189,0.55104347
0.287618662,0.525480737,0.186900601,0.554161418
0.311766845,0.497212957,0.191020198,0.555813221
0.336886488,0.468663168,0.194450344,0.563318451
0.362854747,0.440007311,0.197137942,0.561403345
0.38953003,0.411430703,0.199039267,0.566963863
0.416748784,0.383125474,0.200125742,0.567131623
0.444339257,0.355278982,0.200381761,0.567686094
0.472116255,0.328073657,0.199810088,0.572046786
0.499893336,0.301680634,0.198426031,0.575836379
0.527483563,0.276255565,0.196260872,0.578184643
0.554704662,0.251935374,0.193359964,0.57782561
0.581391664,0.228827636,0.1897807,0.57946283
0.607389182,0.207023815,0.185587003,0.582652914
0.632562766,0.186582939,0.180854294,0.583207196
0.656798503,0.167542967,0.17565853,0.582688898
0.680005354,0.149915454,0.170079192,0.763594921
0.142467961,0.722545889,0.13498615,0.759960653
0.157585323,0.700568718,0.141845959,0.522791684
