Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.526094202Ti0.242327795Zr0.231578003,0.526094202,0.242327795,0.231578003,0.593313116,Cr0.5260942 Ti0.2423278 Zr0.231578,-0.198920146,-0.1008975,-0.047316173,1.900316071,0.081240831
Cr0.143953228Ti0.67690113Zr0.179145643,0.143953228,0.67690113,0.179145643,0.354773099,Cr0.14395323 Ti0.67690113 Zr0.17914564,-0.095515822,-0.014822167,-0.028160726,3.584529429,0.056451728
Cr0.158812673Ti0.654581321Zr0.186606006,0.158812673,0.654581321,0.186606006,0.409629597,Cr0.15881267 Ti0.65458132 Zr0.18660601,-0.104608604,-0.022552539,-0.031154849,3.411299124,0.058254842
Cr0.174895772Ti0.631281763Zr0.193822465,0.174895772,0.631281763,0.193822465,0.434779986,Cr0.17489577 Ti0.63128176 Zr0.19382246,-0.114246055,-0.030675275,-0.034115871,3.249278295,0.060073239
Cr0.192236727Ti0.607049762Zr0.200713511,0.192236727,0.607049762,0.200713511,0.446759702,Cr0.19223673 Ti0.60704976 Zr0.20071351,-0.124363394,-0.039127207,-0.036961822,3.098075367,0.06189938
Cr0.210854559Ti0.581951023Zr0.207194419,0.210854559,0.581951023,0.207194419,0.475503199,Cr0.21085456 Ti0.58195102 Zr0.20719442,-0.134855863,-0.047815641,-0.039598874,2.957306225,0.063724102
Cr0.230747037Ti0.556071495Zr0.213181467,0.230747037,0.556071495,0.213181467,0.492230596,Cr0.23074704 Ti0.55607149 Zr0.21318147,-0.145568914,-0.056612371,-0.041923818,2.826608061,0.065536538
Cr0.251894553Ti0.529513676Zr0.21859177,0.251894553,0.529513676,0.21859177,0.493043738,Cr0.25189455 Ti0.52951368 Zr0.21859177,-0.156295057,-0.065353035,-0.043829046,2.705579388,0.067324391
Cr0.274251364Ti0.502401584Zr0.223347052,0.274251364,0.502401584,0.223347052,0.498565487,Cr0.27425136 Ti0.50240158 Zr0.22334705,-0.166769259,-0.073834617,-0.045207324,2.593826456,0.0690737
Cr0.297748753Ti0.474874616Zr0.227376631,0.297748753,0.474874616,0.227376631,0.507063246,Cr0.29774875 Ti0.47487462 Zr0.22737663,-0.176677612,-0.081822511,-0.045958868,2.490931005,0.070769383
Cr0.322289433Ti0.447090216Zr0.230620351,0.322289433,0.447090216,0.230620351,0.51904797,Cr0.32228943 Ti0.44709022 Zr0.23062035,-0.18567179,-0.089060501,-0.045998361,2.396473474,0.072395282
Cr0.347752711Ti0.419216505Zr0.233030784,0.347752711,0.419216505,0.233030784,0.525813979,Cr0.34775271 Ti0.41921651 Zr0.23303078,-0.193397952,-0.095290548,-0.047279901,2.310011371,0.073934842
Cr0.373993223Ti0.391433521Zr0.234573256,0.373993223,0.391433521,0.234573256,0.532131087,Cr0.37399322 Ti0.39143352 Zr0.23457326,-0.1995303,-0.100274954,-0.049404828,2.231095241,0.075371284
Cr0.400841905Ti0.363925723Zr0.235232372,0.400841905,0.363925723,0.235232372,0.545560897,Cr0.4008419 Ti0.36392572 Zr0.23523237,-0.203809734,-0.103822294,-0.050802353,2.159271443,0.076688516
Cr0.42811442Ti0.336877304Zr0.235008277,0.42811442,0.336877304,0.235008277,0.557981219,Cr0.42811442 Ti0.3368773 Zr0.23500828,-0.206076798,-0.105809938,-0.051480361,2.094074279,0.077871578
Cr0.455614734Ti0.310468763Zr0.233916504,0.455614734,0.310468763,0.233916504,0.566014603,Cr0.45561473 Ti0.31046876 Zr0.2339165,-0.206291262,-0.106198124,-0.05148039,2.035037186,0.078907112
Cr0.483138929Ti0.284869518Zr0.231991553,0.483138929,0.284869518,0.231991553,0.578265354,Cr0.48313893 Ti0.28486952 Zr0.23199155,-0.20453592,-0.105034165,-0.050874685,1.98169595,0.079784197
Cr0.510484721Ti0.260234144Zr0.229281135,0.510484721,0.260234144,0.229281135,0.58668197,Cr0.51048472 Ti0.26023414 Zr0.22928113,-0.201001082,-0.102443616,-0.049435328,1.933590548,0.080494543
